Game Turn, Player, Action, Policy, Score, Turns
1, 0, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 0, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 0, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 0, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 0, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 0, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 0, Civic, CIVIC_MYSTICISM, 123.7, 55
1, 1, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 1, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 1, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 1, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 1, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 1, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 1, Civic, CIVIC_MYSTICISM, 123.7, 55
1, 2, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 2, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 2, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 2, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 2, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 2, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 2, Civic, CIVIC_MYSTICISM, 123.7, 55
1, 3, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 3, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 3, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 3, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 3, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 3, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 3, Civic, CIVIC_MYSTICISM, 123.7, 55
1, 4, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 4, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 4, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 4, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 4, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 4, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 4, Civic, CIVIC_MYSTICISM, 123.7, 55
1, 62, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
1, 62, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
1, 62, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
1, 62, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
1, 62, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
1, 62, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
1, 62, Civic, CIVIC_MYSTICISM, 123.7, 55
2, 0, Civic, CIVIC_CODE_OF_LAWS, 85.2, 10
2, 0, Civic, CIVIC_CRAFTSMANSHIP, 123.7, 30
2, 0, Civic, CIVIC_FOREIGN_TRADE, 123.7, 30
2, 0, Civic, CIVIC_MILITARY_TRADITION, 123.7, 55
2, 0, Civic, CIVIC_STATE_WORKFORCE, 123.7, 65
2, 0, Civic, CIVIC_EARLY_EMPIRE, 123.7, 65
2, 0, Civic, CIVIC_MYSTICISM, 123.7, 55
