Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 6, 14, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 7, 14, 5, 17, 16656, 6e5e3ecb
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 6, 14, 5, 16, 16656, 3979018b
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 14, 5, 17, 16656, 586d5e4d
001, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 5, 15, 5, 16, 16400, 61adc094
001, LOC_CIVILIZATION_GEORGIA_NAME, UNIT_WARRIOR (131073), 32, 14, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_GEORGIA_NAME, UNIT_BUILDER (196610), 32, 14, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_GEORGIA_NAME, UNIT_SETTLER (65536), 33, 14, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_GEORGIA_NAME, UNIT_WARRIOR (131073), 32, 14, -9999, -9999, 2368, ffffffff
001, LOC_CIVILIZATION_GEORGIA_NAME, UNIT_WARRIOR (131073), 32, 14, 31, 13, 320, bd69927f
001, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (131073), 15, 13, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_GENEVA_NAME, UNIT_SETTLER (65536), 16, 13, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_GENEVA_NAME, UNIT_WARRIOR (196610), 16, 12, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_KUMASI_NAME, UNIT_SETTLER (65536), 42, 10, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_KUMASI_NAME, UNIT_WARRIOR (196610), 41, 11, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_KUMASI_NAME, UNIT_WARRIOR (131073), 41, 10, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_SETTLER (65536), 0, 16, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (196610), 43, 17, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_SAMARKAND_NAME, UNIT_WARRIOR (131073), 43, 16, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_SPEARMAN (65536), 38, 18, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_BARBARIAN_NAME, UNIT_SCOUT (131073), 38, 19, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_KOREA_NAME, UNIT_SETTLER (65536), 6, 16, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_KOREA_NAME, UNIT_WARRIOR (131073), 6, 16, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_KOREA_NAME, UNIT_BUILDER (196610), 5, 15, -9999, -9999, 2325, ffffffff
